"","X","userid","wave_id","agescreen","age","gender","education","adults","children","employment","income","footage","ssn_precip","ssn_tmp","drghtfreq","drghtsev","fldfreq","fldsev","avgtmp","tmpextrm","evntexp_wind","evntexp_drght","evntexp_rain","evntexp_cold","evntexp_snow","evntexp_ice","evntexp_flood","evntexp_torn","evntexp_fire","evntfreq_wind","evntfreq_rain","evntfreq_cold","evntfreq_snow","evntfreq_ice","evntfreq_torn","evntfreq_fire","evntfutfreq_wind","evntfutfreq_drght","evntfutfreq_rain","evntfutfreq_cold","evntfutfreq_snow","evntfutfreq_ice","evntfutfreq_flood","evntfutfreq_torn","evntfutfreq_fire","wtr_bill_totcost","wtr_bill_dk","wtr_use","wtr_short","mntain_lawn","wtr_qual","wtr_safe","wtr_comm","wtr_farm","wtr_steps_flush","wtr_steps_flow","wtr_steps_bath","wtr_steps_lawn","wtr_steps_car","wtr_steps_othr","wtr_steps_spec","enrgy_sourc_elec","enrgy_sourc_natgas","enrgy_sourc_prop","enrgy_sourc_wood","enrgy_sourc_othr","enrgy_sourc_othr_spec","elec_bill_totcost","elec_bill_dk","elec_use","elec_out","gas_bill_totcost","gas_bill_dk","gas_use","enrgy_steps_lghts","enrgy_steps_ac","enrgy_steps_heat","enrgy_steps_savappl","enrgy_steps_unplug","enrgy_steps_insul","enrgy_steps_savdoor","enrgy_steps_othr","enrgy_steps_othr_spec","party","party_spec","lean","ideol","cncrn_secur","cncrn_health","cncrn_enrgy","cncrn_trns","cncrn_tax","cncrn_edu","cncrn_econ","glbwrm_ok","time_outside","spent_outside","cmpr_time_outside","hlth_status","nghbrhd_deal","nghbrhd_close","nghbrhd_care","nghbrhd_not","nghbrhd_eyes","nghbrhd_help","wthr_info_paper","wthr_info_web","wthr_info_govweb","wthr_info_loctv","wthr_info_cabtv","wthr_info_radio","wthr_info_fam","wthr_info_soc","wthr_info_othr","wthr_info_othr_spec","dot_answr","click_bluedot","begin_datetime","end_datetime","is_statewide","hispanic","race","race_spec","evntexp_heat","evntexp_ethqk","evntfreq_heat","evntfreq_ethqk","evntfutfreq_heat","evntfutfreq_ethqk","wtr_steps_leaks","wtr_steps_ldry","enrgy_sourc_geo","enrgy_steps_bulbs","wthr_info_phone","mntain_flwr","mntain_veg","glbcc","glbcc_cert","glbcc_risk","is_payne","is_okcity","evntexp_hail","evntfreq_hail","evntfutfreq_hail","wtr_freq","cncrn_natres","confirm_zip","is_kiamichi","is_washita","is_canadian","consent","home_lot","ethqk_risk","ethqk_cause","ethqk_risk_mgmt","ethqk_risk_rand","ethqk_risk_fed_mgmt","glbwrm_risk_rand","glbwrm_risk_mgmt","glbwrm_risk_fed_mgmt","know_fire","purp_fire","purp_fire_exp","useful_val_fire","use_fire_rural","nofire_notrain","nofire_notnear","nofire_othr","nofire_othr_spec","urban_fire","fire_implmnt","okelec_foss","okelec_nuc","okelec_renew","solar_prop","heard_netmeter","net_met_info","ok_net_met","vote","vote_2016","vote_cand","vote_cand_spec","vote_cand_spt","f.gender","f.party","f.party.2","r.ind","f.ind","r.rep","f.rep","r.dem","f.dem","f.edu","f.race","r.race","f.race.2","r.white","f.white","r.AfricanAmer","f.AfricanAmer","r.age","f.age","f.age.2","r.ideology","f.ideology","f.glbwrm_ok"
"1152",16204,"R3OKPH18532","Wave 12 (Fall 2016)",1,55,1,4,2,0,4,80000,1300,2,1,2,2,2,2,2,2,1,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,24,0,2,0,0,4,10,4,3,0,0,0,0,0,1,"none",1,0,1,1,0,NA,70,0,2,0,NA,NA,NA,1,0,0,0,0,0,0,1,"New windows and insulation were installed a couple years ago, in preparation of move in",2,NA,NA,7,8,7,6,6,8,7,7,0,3,3,2,4,5,3,5,3,4,2,"Less than once per week","Several times a day","Less than once per week","Never","Never","Several times a day","Never","Never",NA,NA,1,0,1481772027,1481775901,0,0,1,NA,0,1,1,3,2,3,0,0,0,0,"Never",1,0,0,7,2,0,1,0,2,2,5,7,73020,0,0,0,"Yes, I agree to participate in this study",2,7,2,7,"regulating",6,"managing",6,6,1,1,"To alleviate the risk of uncontrolled fires that could happen if dry, ""burnable"" materials are more abundant. Reducing the flammable material through a controlled burn lessens the risk of personal or property damage.",1,NA,NA,NA,NA,NA,1,1,"35","30","35",0,0,1,3,1,1,0,NA,4,"Men","Rep","Rep",0,"Non Ind",1,"Rep",0,"Non Dem","Some College","White",2,"White",1,"White",0,"Non AfricanAmer",4,"51-60","(17.9,58.5]",3,"Conservative","No"
"1153",16215,"R3OKPH18539","Wave 12 (Fall 2016)",1,37,0,7,1,1,4,60000,1600,1,3,2,2,1,1,2,1,1,0,0,0,0,0,0,0,0,2,1,2,2,1,2,2,2,3,2,2,1,1,1,2,2,57,0,2,0,1,3,8,4,4,0,0,1,0,0,0,NA,1,1,0,0,0,NA,35,0,2,0,55,0,2,1,1,1,0,1,0,0,0,NA,3,NA,1,3,5,5,7,3,6,4,3,2,1,2,2,4,3,3,1,1,5,3,"Less than once per week","Never","Never","Several times a day","Never","About once a day","Several times per week","Never","Never",NA,2,0,1481143456,1481144495,0,0,1,NA,0,0,1,2,2,2,0,0,0,1,"Several times a day",1,0,1,8,7,0,1,0,2,2,1,4,73112,0,0,0,"Yes, I agree to participate in this study",2,6,3,6,"managing",5,"managing",8,9,1,1,"A prescribed fire is a fire to burn underbrush in order to prevent a random wildfire.",1,NA,NA,NA,NA,NA,0,1,"45","0","55",0,2,1,3,1,1,1,NA,5,"Women","Ind","Ind",1,"Ind",0,"Non Rep",0,"Non Dem","Master's degree","White",2,"White",1,"White",0,"Non AfricanAmer",2,"31-40","(17.9,58.5]",2,"Moderate",NA
"1154",16226,"R3OKPH18707","Wave 12 (Fall 2016)",1,68,0,4,2,NA,8,50000,1000,1,3,3,3,1,1,3,3,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,2,3,2,2,1,2,3,NA,1,2,0,1,2,7,3,3,0,0,1,1,0,0,NA,1,1,0,0,0,NA,120,0,3,0,50,0,1,1,0,0,1,0,0,0,0,NA,2,NA,NA,6,2,5,8,6,2,3,5,0,1,2,1,2,1,5,3,2,5,2,"Less than once per week","Less than once per week","About once a day","About once a day","Less than once per week","Never","Less than once per week","About once a day",NA,NA,2,0,1481003497,1481005914,0,0,1,NA,1,0,3,2,3,3,0,1,0,1,"Several times a day",0,1,0,4,4,0,1,0,1,2,3,7,73115,0,0,0,"Yes, I agree to participate in this study",2,8,2,8,"regulating",2,"managing",5,2,1,1,"It helps with burning brush and cedar tree'sto control wild fires.",1,NA,NA,NA,NA,NA,0,1,"50","0","50",0,2,3,1,1,1,0,NA,4,"Women","Rep","Rep",0,"Non Ind",1,"Rep",0,"Non Dem","Some College","White",2,"White",1,"White",0,"Non AfricanAmer",5,"61-70","(58.5,99.1]",3,"Conservative","No"
"1155",16237,"R3OKPH18815","Wave 12 (Fall 2016)",1,62,1,2,1,0,2,29000,850,1,3,2,2,2,2,3,2,0,1,0,0,0,0,0,0,0,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,NA,1,2,0,0,2,10,3,3,0,0,1,0,0,0,NA,1,0,0,0,0,NA,68.44,0,2,0,NA,NA,NA,1,1,1,0,0,0,0,0,NA,2,NA,NA,6,1,3,5,10,10,2,10,0,2,3,2,3,1,1,7,3,1,1,"Never","Less than once per week","Several times a day","About once per week","Never","About once a day","Never","Never","About once a day","NOAA Weather Radio",NA,1,1481315452,1481317672,0,0,1,NA,0,1,2,3,2,2,0,0,0,0,"About once per week",0,0,0,2,1,0,1,0,2,2,NA,5,73116,0,0,0,"Yes, I agree to participate in this study",1,3,1,0,"regulating",0,"managing",0,1,1,1,"The purpose is to burn off excess dry vegetation to prevent the spreading of uncontrolled wildfires.",1,NA,NA,NA,NA,NA,0,1,"0","50","50",0,0,1,4,1,1,0,NA,4,"Men","Rep","Rep",0,"Non Ind",1,"Rep",0,"Non Dem","HS/GED","White",2,"White",1,"White",0,"Non AfricanAmer",5,"61-70","(58.5,99.1]",3,"Conservative","No"
"1156",16248,"R3OKPH18991","Wave 12 (Fall 2016)",1,75,1,5,3,0,3,24000,1800,1,2,3,2,1,1,2,2,0,1,0,0,0,0,0,0,0,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,92,0,2,0,0,3,8,3,3,1,0,1,0,0,0,NA,1,1,0,0,0,NA,60,0,2,0,50,0,2,1,0,1,0,1,1,0,0,NA,3,NA,2,4,8,8,9,7,9,6,6,2,4,3,2,4,6,5,4,1,4,2,"About once a day","Less than once per week","Never","Several times a day","About once a day","Never","Less than once per week","Never",NA,NA,1,0,1482803670,1482804646,0,1,1,NA,0,1,2,2,2,2,1,0,0,1,"Never",0,0,1,4,5,0,1,0,1,2,NA,NA,73116,0,0,0,"Yes, I agree to participate in this study",2,5,2,8,"regulating",8,"managing",5,6,2,NA,NA,2,NA,NA,NA,NA,NA,0,2,"50","30","20",0,2,1,4,1,1,0,NA,3,"Men","Ind","Ind",1,"Ind",0,"Non Rep",0,"Non Dem","2 year/Associates","White",2,"White",1,"White",0,"Non AfricanAmer",6,"71+","(58.5,99.1]",2,"Moderate",NA
"1157",16259,"R3OKPH19054","Wave 12 (Fall 2016)",1,66,1,6,2,0,5,30000,5000,1,3,3,3,2,2,3,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,2,3,2,3,2,2,2,NA,1,3,0,1,3,9,4,1,0,0,0,1,1,0,NA,1,1,0,0,0,NA,NA,1,3,1,NA,1,3,1,1,1,0,1,0,0,0,NA,2,NA,NA,6,6,7,9,9,9,2,5,1,1,2,2,4,1,1,6,6,1,1,"Never","About once a day","About once per week","About once a day","About once a day","Less than once per week","Several times per week","Several times a day",NA,NA,NA,1,1482097112,1482264317,0,0,2,NA,1,1,3,3,3,3,0,1,0,1,"Several times a day",0,0,1,9,9,0,1,0,2,2,1,5,73117,0,0,0,"Yes, I agree to participate in this study",1,9,2,5,"managing",10,"managing",4,10,1,1,"Remove flammable material to prevent wildfires and/or prepare fields for future planting.",1,NA,NA,NA,NA,NA,1,1,"0","50","50",0,1,1,4,1,1,0,NA,3,"Men","Rep","Rep",0,"Non Ind",1,"Rep",0,"Non Dem","Bachelor's Degree","African Amer",1,"African Amer",0,"Non White",1,"AfricanAmer",5,"61-70","(58.5,99.1]",3,"Conservative","Yes"
"1158",16270,"R3OKPH19142","Wave 12 (Fall 2016)",1,78,1,8,1,0,8,50000,2500,2,3,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,1,2,2,1,2,1,2,1,1,2,2,1,2,1,1,2,NA,0,2,0,1,3,9,2,3,0,0,0,0,0,0,NA,1,1,0,0,0,NA,60,0,2,0,44.71,0,2,0,0,0,0,0,0,0,0,NA,1,NA,NA,2,2,9,5,4,6,9,6,1,3,3,2,5,4,3,2,3,3,2,"Never",NA,"Never","About once a day","About once a day","Never","About once per week","Never",NA,NA,1,0,1481304258,1481305846,0,0,1,NA,0,0,2,3,2,3,0,0,0,1,"Never",0,0,1,10,10,0,1,0,1,2,2,8,73118,0,0,0,"Yes, I agree to participate in this study",1,8,2,9,"managing",9,"managing",8,8,1,1,"To burn off underbrush and limit the fuel available to wildfires.",1,NA,NA,NA,NA,NA,1,1,"40","20","40",0,1,2,3,1,1,1,NA,2,"Men","Dem","Dem",0,"Non Ind",0,"Non Rep",1,"Dem","PhD/JD/MD","White",2,"White",1,"White",0,"Non AfricanAmer",6,"71+","(58.5,99.1]",1,"Liberal","Yes"
"1159",16282,"R3OKPH19288","Wave 12 (Fall 2016)",1,45,0,6,2,2,3,40000,2000,1,3,3,3,2,2,3,3,0,1,0,0,0,0,0,0,1,2,1,1,1,1,1,2,2,3,3,1,2,2,3,3,3,55,0,2,1,1,4,10,2,2,0,1,1,1,1,1,"rainwater harvesting to water vegetable garden",1,1,0,0,1,"solar electricity and solar hot water",30,0,2,0,64,0,2,1,1,1,0,0,0,0,0,NA,1,NA,NA,1,4,7,6,2,5,6,5,1,3,3,2,5,4,4,1,1,6,6,"Never","Less than once per week","Less than once per week","Never","Never","Several times a day","Several times per week","Never","Never",NA,NA,1,1481042583,1481043568,0,0,1,NA,0,1,2,3,3,3,0,1,0,1,"Never",0,1,1,10,10,0,1,0,1,3,4,10,73118,0,0,0,"Yes, I agree to participate in this study",2,10,2,10,"managing",9,"managing",10,10,1,1,"To burn small brush and other easily combustible material, so that in the event of a wildfire, the wildfire will be easier to control.  It takes the place of small wildfires that would normally occur without human intervention.",1,NA,NA,NA,NA,NA,0,1,"0","0","100",1,1,2,4,1,1,1,NA,4,"Women","Dem","Dem",0,"Non Ind",0,"Non Rep",1,"Dem","Bachelor's Degree","White",2,"White",1,"White",0,"Non AfricanAmer",3,"41-50","(17.9,58.5]",1,"Liberal","Yes"
"1160",16292,"R3OKPH19378","Wave 12 (Fall 2016)",1,58,0,6,2,0,6,80000,2200,1,3,3,3,2,2,3,3,1,1,0,0,0,0,0,0,0,2,1,1,1,1,2,2,3,3,2,3,2,3,2,3,3,70.81,0,2,0,0,3,8,2,2,1,0,0,0,0,0,NA,1,1,0,0,1,"photovoltaic",36.72,0,3,1,58,0,1,0,0,0,0,0,0,0,0,NA,1,NA,NA,1,5,10,5,5,10,10,5,1,1,3,3,4,3,3,2,2,1,2,NA,"Several times per week","Several times per week","Several times a day","Never","About once a day","Less than once per week","Never",NA,NA,1,0,1482862771,1482962183,0,0,1,NA,0,1,3,3,3,3,0,0,0,0,"Never",1,0,1,10,10,0,1,0,1,2,3,10,73118,0,0,0,"Yes, I agree to participate in this study",1,9,2,10,"managing",10,"regulating",10,10,1,1,"To clear land of brush and or weeds.",1,NA,NA,NA,NA,NA,0,2,"15","0","85",1,1,2,3,1,1,1,NA,5,"Women","Dem","Dem",0,"Non Ind",0,"Non Rep",1,"Dem","Bachelor's Degree","White",2,"White",1,"White",0,"Non AfricanAmer",4,"51-60","(17.9,58.5]",1,"Liberal","Yes"
"1161",16302,"R3OKPH19416","Wave 12 (Fall 2016)",1,64,0,7,2,0,1,100000,2400,1,2,2,3,2,2,3,2,0,1,0,0,0,0,0,0,0,2,1,2,2,2,2,2,3,3,2,3,3,3,2,3,3,81,0,3,0,1,4,9,3,3,0,0,0,1,0,0,NA,1,1,0,0,0,NA,105,0,1,0,32,0,2,0,0,0,0,0,0,0,0,NA,1,NA,NA,2,2,4,4,1,1,10,7,1,2,3,1,5,7,7,2,1,5,5,"Less than once per week",NA,"Less than once per week","About once a day","Never","About once a day","About once a day","Never",NA,NA,NA,1,1482289991,1482292268,0,0,1,NA,0,1,2,3,3,3,1,0,1,1,"Less than once per week",1,1,1,10,10,0,1,0,2,3,4,10,73118,0,0,0,"Yes, I agree to participate in this study",1,10,2,10,"regulating",10,"managing",10,10,1,2,NA,1,NA,NA,NA,NA,NA,0,1,"40","0","60",0,1,2,3,1,1,1,NA,5,"Women","Dem","Dem",0,"Non Ind",0,"Non Rep",1,"Dem","Master's degree","White",2,"White",1,"White",0,"Non AfricanAmer",5,"61-70","(58.5,99.1]",1,"Liberal","Yes"
"1162",16320,"R3OKPH19956","Wave 12 (Fall 2016)",1,78,0,6,1,0,8,20000,900,1,1,1,3,2,2,1,1,1,1,0,0,0,0,0,0,0,3,1,1,1,1,1,1,3,3,1,3,1,1,1,3,1,45,0,3,0,1,4,10,4,4,0,0,0,1,1,0,NA,1,1,0,0,0,NA,61,0,2,1,NA,0,NA,1,0,0,0,1,0,0,0,NA,2,NA,NA,7,9,8,7,4,5,8,7,0,2,2,1,4,6,6,1,1,3,6,"About once a day","Never","About once a day","Never","Never","Never","Never","Never","Never",NA,NA,1,1481495160,1481497002,0,0,1,NA,0,1,2,3,3,1,0,0,0,1,"Never",1,0,0,0,2,0,1,0,1,1,4,5,73120,0,0,0,"Yes, I agree to participate in this study",2,7,2,9,"managing",9,"regulating",0,0,1,1,"To burn off unnecessary vegetation and to enrich the soil",2,NA,NA,NA,NA,NA,0,1,"76","0","24",0,0,1,3,1,1,0,NA,5,"Women","Rep","Rep",0,"Non Ind",1,"Rep",0,"Non Dem","Bachelor's Degree","White",2,"White",1,"White",0,"Non AfricanAmer",6,"71+","(58.5,99.1]",3,"Conservative","No"
"1163",16331,"R3OKPH20031","Wave 12 (Fall 2016)",1,48,0,6,4,2,4,180000,2800,1,2,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,75,0,2,0,1,3,9,2,2,0,0,0,0,1,0,NA,1,1,0,0,0,NA,80,0,3,1,45,0,1,0,0,1,0,0,0,0,0,NA,2,NA,NA,6,6,6,6,4,6,7,6,2,1,2,2,3,4,4,4,2,7,4,"Never","Several times per week","Less than once per week","Several times per week","Never","Several times per week","About once per week","Never","Never",NA,1,0,1482415923,1482790934,0,0,1,NA,0,1,2,3,2,2,0,0,0,0,"Never",0,0,1,3,NA,0,1,0,2,2,1,7,73120,0,0,0,"Yes, I agree to participate in this study",2,6,3,6,"managing",6,"managing",7,7,1,1,"When grassy or wooded areas get overgrown, prescribe fires help protect other areas from wildfire.  farmers use controlled burns to burn off hay or feeding fields and waste product left on the land to promote clean fields and new growth the next growing s",1,NA,NA,NA,NA,NA,1,1,"50","0","50",0,0,1,4,1,1,NA,NA,2,"Women","Rep","Rep",0,"Non Ind",1,"Rep",0,"Non Dem","Bachelor's Degree","White",2,"White",1,"White",0,"Non AfricanAmer",3,"41-50","(17.9,58.5]",3,"Conservative",NA
"1164",16343,"R3OKPH20205","Wave 12 (Fall 2016)",1,80,1,4,2,NA,8,50000,2400,1,2,3,2,1,1,2,2,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,144,0,2,0,1,3,10,3,3,0,0,0,0,0,0,NA,1,1,0,0,0,NA,134,0,2,0,53,0,2,0,0,0,0,0,0,0,0,NA,2,NA,NA,6,1,8,1,2,10,10,5,2,3,3,2,3,6,5,1,1,5,2,"Never","Never","Never","Several times a day","Never","Several times a day","Never","Never","Never",NA,NA,1,1481128121,1481130226,0,0,1,NA,0,1,1,2,1,1,0,0,0,0,"Less than once per week",1,0,0,9,5,0,1,0,1,1,5,5,73120,0,0,0,"Yes, I agree to participate in this study",2,2,3,2,"regulating",3,"managing",2,2,1,1,"prevent wild fires",1,NA,NA,NA,NA,NA,0,1,"80","0","20",0,0,1,1,1,1,0,NA,3,"Men","Rep","Rep",0,"Non Ind",1,"Rep",0,"Non Dem","Some College","White",2,"White",1,"White",0,"Non AfricanAmer",6,"71+","(58.5,99.1]",3,"Conservative",NA
"1165",16357,"R3OKPH20349","Wave 12 (Fall 2016)",1,69,1,6,2,0,8,80000,1400,1,3,2,2,1,1,2,2,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,86.84,0,2,0,1,4,10,4,4,0,0,0,1,1,0,NA,1,0,0,0,0,NA,NA,1,2,0,NA,NA,NA,1,1,1,0,1,0,0,0,NA,3,NA,1,3,3,9,4,4,5,10,10,1,3,3,2,4,4,5,4,1,6,4,NA,NA,NA,"Several times a day",NA,"About once per week",NA,NA,NA,NA,1,0,1482283913,1482285359,0,0,2,NA,0,0,2,2,2,2,0,0,0,0,NA,0,0,1,8,8,0,1,0,1,1,2,6,73120,0,0,0,"Yes, I agree to participate in this study",2,6,2,8,"regulating",6,"managing",8,8,1,1,"To burn a section of land or debris under pre-authorized approval and supervision.",1,NA,NA,NA,NA,NA,0,1,"0","0","100",0,0,1,3,1,1,1,NA,4,"Men","Ind","Ind",1,"Ind",0,"Non Rep",0,"Non Dem","Bachelor's Degree","African Amer",1,"African Amer",0,"Non White",1,"AfricanAmer",5,"61-70","(58.5,99.1]",2,"Moderate","Yes"
"1166",16368,"R3OKPH20360","Wave 12 (Fall 2016)",1,64,0,6,1,0,4,53000,2100,1,3,3,3,1,1,3,3,1,1,0,0,0,0,0,1,1,2,1,NA,1,1,2,2,2,3,2,2,2,2,1,2,3,92,0,3,0,1,4,10,4,3,0,0,1,1,0,0,NA,1,1,0,0,0,NA,52,0,2,0,97,0,2,1,1,1,0,0,0,0,0,NA,1,NA,NA,3,8,10,8,8,9,10,9,1,1,3,2,3,1,4,4,2,4,1,"Never","Less than once per week","Several times per week","Several times a day","Less than once per week","Less than once per week","About once per week","Never",NA,NA,NA,1,1482113509,1482115373,0,0,1,NA,1,1,3,3,3,3,0,1,0,1,"About once per week",1,0,1,10,10,0,1,0,1,2,5,10,73120,0,0,0,"Yes, I agree to participate in this study",2,10,2,10,"regulating",10,"managing",10,10,1,1,"To clear brush and dead grass, as well as add nutrients back into the soil.",1,NA,NA,NA,NA,NA,1,1,"70","0","30",0,1,2,4,1,1,NA,NA,NA,"Women","Dem","Dem",0,"Non Ind",0,"Non Rep",1,"Dem","Bachelor's Degree","White",2,"White",1,"White",0,"Non AfricanAmer",5,"61-70","(58.5,99.1]",2,"Moderate","Yes"
"1167",16379,"R3OKPH20385","Wave 12 (Fall 2016)",1,54,0,4,1,0,4,50000,1650,1,3,2,1,1,1,3,2,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,1,2,2,1,2,2,2,1,2,2,82,0,1,1,1,4,9,4,3,0,0,0,1,1,0,NA,1,1,0,0,0,NA,75,0,2,0,40,0,2,1,1,1,0,0,0,0,0,NA,2,NA,NA,5,5,7,6,6,5,6,7,2,1,3,1,4,4,3,3,3,5,3,"Less than once per week","Less than once per week","Never","Several times per week","Never","Several times per week","About once per week","Never","Never",NA,NA,1,1481066367,1481079835,0,0,1,NA,0,1,2,2,2,2,0,0,0,1,"Less than once per week",1,0,0,4,5,0,1,0,1,2,4,5,73120,0,0,0,"Yes, I agree to participate in this study",2,5,3,5,"regulating",5,"managing",4,5,1,1,"Well, I think I do . . . Burn down brush that would fuel an accidental wildfire.  On a city lot, a controlled burn will start new growth of lawn.",1,NA,NA,NA,NA,NA,0,1,"50","10","40",0,1,2,2,1,1,0,NA,1,"Women","Rep","Rep",0,"Non Ind",1,"Rep",0,"Non Dem","Some College","White",2,"White",1,"White",0,"Non AfricanAmer",4,"51-60","(17.9,58.5]",2,"Moderate",NA
"1168",16399,"R3OKPH20963","Wave 12 (Fall 2016)",1,54,1,7,4,1,4,75000,2100,2,3,2,2,2,1,3,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,75,0,2,0,1,4,9,3,3,0,0,0,1,0,0,NA,1,1,1,0,0,NA,NA,0,2,0,60,0,2,1,0,0,0,0,0,0,0,NA,2,NA,NA,5,8,10,6,8,7,10,8,2,1,3,2,4,6,5,1,1,7,6,"Less than once per week","About once per week","Less than once per week","Several times per week","Never","Less than once per week","Several times per week","Less than once per week",NA,NA,1,0,1484144883,1484146238,0,0,1,NA,0,1,2,2,2,2,0,0,0,0,"Less than once per week",0,0,0,0,4,0,1,0,2,1,5,7,73127,0,0,0,"Yes, I agree to participate in this study",2,3,3,5,"managing",3,"managing",4,8,1,1,"clear dense areas.
keep wild fires from being so bad.
tries to keep the natural habitat ""natural"" - ecosystem?",1,NA,NA,NA,NA,NA,0,1,"50","20","30",0,0,1,2,1,1,1,NA,4,"Men","Rep","Rep",0,"Non Ind",1,"Rep",0,"Non Dem","Master's degree","White",2,"White",1,"White",0,"Non AfricanAmer",4,"51-60","(17.9,58.5]",2,"Moderate",NA
"1169",16409,"R3OKPH21060","Wave 12 (Fall 2016)",1,81,1,4,1,0,8,14000,600,1,3,2,2,2,1,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,NA,0,2,0,0,4,10,4,4,0,0,0,0,0,0,NA,1,0,0,0,0,NA,58,0,1,0,NA,NA,NA,1,1,1,0,0,0,0,0,NA,2,NA,NA,7,5,5,5,2,8,8,5,2,1,3,1,2,3,3,5,1,4,7,"Several times per week","Never","Never","Several times a day","Never","Never","Never","Never",NA,NA,NA,1,1481494206,1481495880,0,0,1,NA,0,0,1,1,3,1,0,0,0,1,"Never",0,0,0,7,3,0,1,0,1,1,NA,2,73107,0,0,0,"Yes, I agree to participate in this study",1,2,1,2,"regulating",0,"regulating",3,0,1,0,NA,0,NA,NA,NA,NA,NA,0,0,"75","0","25",0,0,1,4,1,1,0,NA,4,"Men","Rep","Rep",0,"Non Ind",1,"Rep",0,"Non Dem","Some College","White",2,"White",1,"White",0,"Non AfricanAmer",6,"71+","(58.5,99.1]",3,"Conservative",NA
"1170",16422,"R3OKPH21166","Wave 12 (Fall 2016)",1,50,0,4,3,0,4,48000,1000,1,3,2,1,3,2,3,3,1,1,0,0,0,0,0,0,0,3,1,2,2,2,2,3,3,3,2,2,2,2,3,2,3,NA,1,2,0,1,3,8,2,2,0,0,0,1,1,0,NA,1,1,0,0,0,NA,84,0,2,1,104,0,3,1,1,0,0,0,0,0,0,NA,2,NA,NA,5,8,8,7,8,9,9,8,1,1,3,1,3,3,5,3,3,5,4,"About once per week","About once per week","Never","Several times a day","About once a day","Less than once per week","About once a day","About once per week",NA,NA,1,0,1483980847,1483981736,0,0,1,NA,0,1,2,3,2,3,0,1,0,1,"About once per week",1,1,1,4,5,0,1,0,2,2,2,7,73127,0,0,0,"Yes, I agree to participate in this study",1,7,2,7,"managing",6,"managing",5,7,1,0,NA,2,NA,NA,NA,NA,NA,0,1,"60","0","40",0,0,1,3,1,1,0,NA,3,"Women","Rep","Rep",0,"Non Ind",1,"Rep",0,"Non Dem","Some College","White",2,"White",1,"White",0,"Non AfricanAmer",3,"41-50","(17.9,58.5]",2,"Moderate","Yes"
"1171",16432,"R3OKPH21212","Wave 12 (Fall 2016)",1,69,1,4,2,0,4,40000,1000,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,65,0,2,0,1,3,9,3,2,0,0,0,0,0,0,NA,1,1,0,0,0,NA,58,0,1,0,70,0,3,0,0,0,0,0,0,0,0,NA,1,NA,NA,4,5,5,5,5,5,4,6,0,2,2,2,3,1,1,4,1,5,2,"About once a day","Never","Never","About once a day","About once per week","Several times a day","Never","Never",NA,NA,NA,0,1481496190,1481497798,0,0,3,NA,0,0,2,3,2,2,0,0,0,1,"Never",1,0,0,5,5,0,1,0,2,2,4,5,73127,0,0,0,"Yes, I agree to participate in this study",2,5,2,8,"managing",8,"regulating",4,4,1,1,"To decrease dry vegetation.",0,NA,NA,NA,NA,NA,0,1,"100","0","0",0,0,1,2,1,1,2,NA,2,"Men","Dem","Dem",0,"Non Ind",0,"Non Rep",1,"Dem","Some College","Amer India",3,"Other",0,"Non White",0,"Non AfricanAmer",5,"61-70","(58.5,99.1]",2,"Moderate","No"
