"title","year","length","budget","rating","votes","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"Cairo Road",1950,83,NA,5.9,8,NA,0,0,0,1,0,0,0
"Caixa, A",1994,93,NA,6.3,66,NA,0,0,1,0,0,0,0
"Caja 507, La",2002,112,NA,7.1,293,NA,1,0,0,1,0,0,0
"Caja negra",2002,78,NA,7.1,29,NA,0,0,0,1,0,0,0
"Cal",1984,102,NA,6.6,301,NA,0,0,0,1,0,1,0
"Calabacitas tiernas",1949,101,NA,7.7,17,NA,0,0,1,0,0,0,0
"Calabuch",1956,96,NA,7.3,75,NA,0,0,1,0,0,0,0
"Calamari Union",1985,80,NA,7.8,293,NA,0,0,1,0,0,0,0
"Calamitous Elopement, A",1908,12,NA,4.6,9,NA,0,0,1,0,0,0,1
"Calamity Jane",1953,101,NA,6.9,998,NA,0,0,1,0,0,1,0
"Calamity Jane and Sam Bass",1949,85,NA,4.7,18,NA,0,0,0,0,0,0,0
"Calaveras, Los",1931,63,NA,7.3,6,NA,0,0,1,0,0,0,0
"Calcium Kid, The",2004,89,NA,5.4,423,"R",0,0,1,0,0,0,0
"Calcutta",1947,83,NA,6.4,37,NA,0,0,0,1,0,0,0
"Calcutta",1969,105,NA,5.9,17,NA,0,0,0,0,1,0,0
"Calde notti di Caligola, Le",1977,88,NA,3.7,8,NA,0,0,1,0,0,0,0
"Calde notti di Don Giovanni, Le",1971,110,NA,3.7,6,NA,0,0,1,0,0,0,0
"Calde notti di Poppea, Le",1969,94,NA,4.2,11,NA,0,0,1,0,0,0,0
"Calendar",1993,74,NA,7.4,395,NA,0,0,1,1,0,0,0
"Calendar Girl",1947,60,NA,6.2,8,NA,0,0,0,0,0,0,0
"Calendar Girl",1993,90,13000000,4.7,464,NA,0,0,1,1,0,0,0
"Calendar Girls",2003,108,NA,7.1,3618,"PG-13",0,0,1,1,0,0,0
"Calendar, The",1948,79,NA,6.1,11,NA,0,0,0,1,0,0,0
"Calgary Stampede",1948,18,NA,5.7,13,NA,0,0,0,0,0,0,1
"Caliche sangriento",1969,128,NA,6.5,16,NA,0,0,0,0,0,0,0
"Calico Dragon, The",1935,8,NA,5.7,19,NA,0,1,0,0,0,0,1
"Califfa, La",1970,112,NA,6.3,22,NA,0,0,0,1,0,0,0
"California",1946,97,NA,6.4,67,NA,0,0,0,0,0,0,0
"California",1963,86,NA,5.1,6,NA,0,0,0,0,0,0,0
"California",1977,98,NA,6.5,13,NA,0,0,0,0,0,0,0
"California",1996,5,NA,6.9,79,NA,0,0,0,1,0,0,1
"California Casanova",1991,90,350000,4.9,30,NA,0,0,1,0,0,0,0
"California Conquest",1952,78,NA,4.7,19,NA,0,0,0,0,0,0,0
"California Dreaming",1979,92,NA,4.8,118,NA,0,0,1,1,0,1,0
"California Heat",1995,87,NA,5.3,18,NA,0,0,1,0,0,0,0
"California Hot Wax",1992,89,NA,3.4,25,NA,0,0,1,0,0,0,0
"California Mail",1936,56,NA,5.3,9,NA,0,0,0,0,0,0,0
"California Passage",1950,90,NA,6.3,18,NA,0,0,0,0,0,0,0
"California Reich, The",1975,60,NA,7.1,12,NA,0,0,0,0,1,0,0
"California Split",1974,108,NA,6.6,423,NA,0,0,1,1,0,0,0
"California Straight Ahead!",1937,67,NA,4,23,NA,1,0,0,0,0,0,0
"California Suite",1978,103,NA,6,1052,NA,0,0,1,1,0,0,0
"California Sunshine",1997,20,NA,6.7,23,NA,0,0,1,0,0,0,1
"California Taboo",1989,102,NA,6.4,5,NA,0,0,0,0,0,0,0
"Californy 'er Bust",1945,8,NA,7.3,34,NA,0,1,0,0,0,0,1
"Caligola: La storia mai raccontata",1981,125,NA,4,89,NA,0,0,0,1,0,0,0
"Caligula",1996,51,NA,1.5,15,"R",0,0,0,1,0,0,0
"Caligula et Messaline",1982,111,NA,2.1,44,NA,1,0,0,0,0,0,0
"Call Girl",1995,83,NA,2.9,38,NA,0,0,0,1,0,0,0
"Call Her Savage",1932,89,489652,6.9,91,NA,0,0,0,1,0,0,0
"Call Home, The",2001,31,NA,4.4,5,NA,0,0,0,0,0,0,1
"Call It a Day",1937,90,NA,6.2,23,NA,0,0,1,0,0,0,0
"Call Me",1988,93,NA,4.9,139,NA,0,0,0,1,0,0,0
"Call Me Bwana",1963,102,NA,4.9,141,NA,0,0,1,0,0,0,0
"Call Me Fishmael",1997,3,NA,4.5,9,NA,0,0,0,0,0,0,1
"Call Me Madam",1953,114,NA,7,180,NA,0,0,0,0,0,0,0
"Call Me Mister",1951,96,NA,5.6,46,NA,0,0,0,0,0,0,0
"Call Northside 777",1948,111,NA,7.3,785,NA,0,0,0,1,0,0,0
"Call Out the Marines",1942,68,NA,5.3,14,NA,0,0,1,0,0,0,0
"Call of the Canyon",1942,71,NA,5.8,14,NA,0,0,0,0,0,0,0
"Call of the Cuckoo",1927,17,NA,6.2,35,NA,0,0,1,0,0,0,1
"Call of the Flesh",1930,100,NA,6.8,18,NA,0,0,0,0,0,0,0
"Call of the Forest",1949,56,NA,5,5,NA,0,0,0,0,0,0,0
"Call of the Prairie",1936,63,NA,6.9,21,NA,0,0,0,0,0,0,0
"Call of the Rockies",1944,56,NA,6.4,9,NA,0,0,0,0,0,0,0
"Call of the Savage",1935,212,NA,4.6,7,NA,0,0,0,0,0,0,0
"Call of the Wild",1972,100,NA,5.6,181,NA,0,0,0,0,0,0,0
"Call of the Wild",2002,8,NA,8.1,10,NA,0,1,1,0,0,0,1
"Call of the Wild, The",1908,16,NA,3.3,5,NA,1,0,0,0,0,0,1
"Call of the Wild, The",1935,81,NA,6.6,150,NA,1,0,0,0,0,0,0
"Call of the Yukon",1938,70,NA,5.3,7,NA,0,0,0,0,0,0,0
"Callan",1974,106,NA,6.2,66,NA,0,0,0,0,0,0,0
"Callas Forever",2002,111,NA,7.1,331,NA,0,0,0,1,0,0,0
"Callaway Went Thataway",1951,81,NA,6.8,74,NA,0,0,1,0,0,0,0
"Calle 54",2000,105,NA,7.4,204,NA,0,0,0,0,1,0,0
"Calle Mayor",1956,99,NA,7.7,91,NA,0,0,0,1,0,0,0
"Caller, The",1987,97,NA,5.8,73,NA,0,0,0,0,0,0,0
"Caller, The",2000,8,NA,4.6,16,NA,0,0,0,0,0,0,1
"Calling All Curs",1939,18,NA,7.4,57,NA,0,0,1,0,0,0,1
"Calling All Girls",1942,19,NA,6.1,6,NA,0,0,0,0,0,0,1
"Calling All Husbands",1940,63,NA,6.2,16,NA,0,0,1,0,0,0,0
"Calling All Kids",1943,11,NA,6.7,5,NA,0,0,1,0,0,0,1
"Calling All Tars",1935,18,NA,5,6,NA,0,0,1,0,0,0,1
"Calling Bobcat",2000,91,230000,5,42,"R",0,0,0,0,0,0,0
"Calling Bulldog Drummond",1951,80,NA,5.6,49,NA,0,0,0,0,0,0,0
"Calling Dr. Death",1943,63,NA,5.2,38,NA,0,0,0,0,0,0,0
"Calling Dr. Gillespie",1942,84,NA,5.7,30,NA,0,0,0,1,0,0,0
"Calling Dr. Kildare",1939,86,NA,6.3,43,NA,0,0,0,1,0,0,0
"Calling Dr. Porky",1940,7,NA,6.6,15,NA,0,1,1,0,0,0,1
"Calling Hedy Lamarr",2004,71,NA,5.5,12,NA,0,0,0,0,1,0,0
"Calling Homicide",1956,60,NA,6.3,10,NA,0,0,0,1,0,0,0
"Calling Philo Vance",1940,62,NA,5.5,26,NA,0,0,0,0,0,0,0
"Calling Wild Bill Elliott",1943,55,NA,6.8,16,NA,0,0,0,0,0,0,0
"Calling the Ghosts",1996,60,NA,6.7,21,NA,0,0,0,0,1,0,0
"Calling, The",2000,89,NA,4.3,405,NA,0,0,0,0,0,0,0
"Calliope",1994,15,NA,6.8,6,NA,0,0,0,0,0,0,1
"Callous Sentiment",2002,13,10000,7.7,11,NA,0,0,0,0,0,0,1
"Calm Yourself",1935,70,NA,5,12,NA,0,0,1,0,0,0,0
"Calmos",1976,81,NA,5.5,44,NA,0,0,1,0,0,0,0
"Calor... y celos",1996,90,NA,6.6,14,NA,0,0,1,0,0,0,0
"Caltiki - il mostro immortale",1959,76,NA,4.9,97,NA,0,0,0,0,0,0,0
"Caluga o Menta",1990,100,NA,4.9,26,NA,0,0,0,0,0,0,0
"Calvaire",2004,94,NA,6.8,173,NA,0,0,0,1,0,0,0
"Calypso Cat",1962,8,NA,3.1,32,NA,0,1,1,0,0,0,1
"Calypso Heat Wave",1957,86,NA,5.3,7,NA,0,0,0,1,0,0,0
"Calypso Is Like So",2003,7,NA,6.4,7,NA,0,1,0,0,0,0,1
"Calypso Joe",1957,76,NA,4.5,6,NA,0,0,0,1,0,1,0
"Calzonazos, El",1974,92,NA,2,5,NA,0,0,1,0,0,0,0
"Calzonzin Inspector",1973,90,NA,7.4,22,NA,0,0,1,0,0,0,0
"Cama Ao Alcance de Todos, A",1969,80,NA,7.1,5,NA,0,0,1,0,0,0,0
"Cama adentro",2004,83,800000,7.3,12,NA,0,0,0,0,0,0,0
"Cama de Gato",2002,92,NA,7.8,50,NA,0,0,0,1,1,0,0
"Camada negra",1977,89,NA,3.9,9,NA,0,0,0,0,0,0,0
"Camaradas, Os",1997,15,NA,4.7,14,NA,0,0,0,0,0,0,1
"Camarate",2001,100,NA,6.6,44,NA,0,0,0,1,0,0,0
"Camarero nocturno en Mar del Plata",1986,90,NA,5.6,14,NA,0,0,1,0,0,0,0
"Camarote de lujo",1959,95,NA,6.4,6,NA,0,0,1,0,0,0,0
"Cambiale, La",1959,91,NA,6.9,15,NA,0,0,1,0,0,0,0
"Cambio de sexo",1977,108,NA,5.9,35,NA,0,0,0,1,0,0,0
"Cambio della guardia, Il",1963,90,NA,4.6,10,NA,0,0,1,0,0,0,0
"Cambio, El",1971,86,NA,4.3,13,NA,0,0,0,1,0,0,0
"Came a Hot Friday",1985,101,NA,6.8,62,NA,0,0,1,0,0,0,0
"Camelot",1967,179,17000000,6.1,1241,NA,0,0,1,1,0,1,0
"Camels Are Coming, The",1934,79,NA,3.7,11,NA,0,0,0,0,0,0,0
"Camera Noise",2002,29,NA,8.8,14,NA,0,0,1,0,0,0,1
"Camera Obscura",2000,99,NA,4.1,42,NA,0,0,0,1,0,0,0
"Camera Sleuth",1951,10,NA,5.8,5,NA,0,0,0,0,0,0,1
"Camera d'albergo",1981,105,NA,6.5,6,NA,0,0,1,0,0,0,0
"Cameraman, The",1928,75,NA,8,796,NA,0,0,1,1,0,1,0
"Cameramen at War",1943,15,NA,5.6,5,NA,0,0,0,0,1,0,1
"Cameras Take Five",2003,3,NA,6.7,8,NA,0,1,0,0,0,0,1
"Camere da letto",1997,100,NA,1.7,16,NA,0,0,0,0,0,0,0
"Camerieri",1995,101,NA,5.9,37,NA,0,0,1,0,0,0,0
"Cameron's Closet",1989,86,7000000,3.9,113,NA,0,0,0,0,0,0,0
"Camila",1984,105,NA,7.1,190,NA,0,0,0,1,0,1,0
"Camilla",1994,95,NA,6.2,217,NA,0,0,0,1,0,1,0
"Camille",1921,72,NA,6.6,76,NA,0,0,0,1,0,1,0
"Camille",1936,109,1486000,7.4,674,NA,0,0,0,1,0,1,0
"Camille 2000",1969,115,NA,4.7,66,NA,0,0,0,1,0,1,0
"Camille Claudel",1988,158,NA,7.1,1066,NA,0,0,0,1,0,0,0
"Caminantes",2001,60,NA,7.1,9,NA,0,0,0,0,1,0,0
"Caminho das Nuvens, O",2003,87,NA,6,131,NA,0,0,0,1,0,0,0
"Camino del sur, El",1988,106,NA,7.9,16,NA,0,0,0,1,0,0,0
"Camino largo a Tijuana",1991,92,NA,6.3,17,NA,1,0,0,1,0,0,0
"Camino solitario",1984,90,NA,7,5,NA,0,0,0,0,0,0,0
"Camino, El",2000,107,NA,4.7,16,NA,0,0,0,1,0,0,0
"Camion, Le",1977,80,NA,6.3,19,NA,0,0,0,1,0,0,0
"Camisa de la serpiente, La",1996,92,NA,6.7,7,NA,0,0,0,1,0,1,0
"Camisards, Les",1972,100,NA,5.4,12,NA,0,0,0,1,0,0,0
"Cammelli, I",1988,100,NA,6.3,15,NA,0,0,0,0,0,0,0
"Cammina, cammina",1982,171,NA,7.1,14,NA,0,0,0,1,0,0,0
"Cammino della speranza, Il",1950,97,NA,6.9,35,NA,0,0,0,1,0,0,0
"Camomille",1988,81,NA,7.7,8,NA,0,0,0,1,0,0,0
"Camorrista, Il",1985,168,NA,6.1,42,NA,0,0,0,0,0,0,0
"Camp",2003,114,NA,6.6,1332,"PG-13",0,0,1,1,0,0,0
"Camp Dog",1950,7,NA,6.4,9,NA,0,1,0,0,0,0,1
"Camp Fear",1991,86,NA,7.1,18,NA,0,0,0,0,0,0,0
"Camp Nowhere",1994,96,NA,4.9,1139,NA,0,0,1,0,0,0,0
"Camp Pacific",2002,29,35000,9.1,21,NA,0,0,0,1,0,0,1
"Camp Slaughter",2004,95,350000,2,180,NA,0,0,0,0,0,0,0
"Camp Stories",1997,100,NA,5.8,32,NA,0,0,1,0,0,0,0
"Camp X-Ray: Ghosts of Guantanamo",2004,125,NA,5.5,8,NA,1,0,0,0,0,0,0
"Camp de Thiaroye",1987,147,NA,7.7,35,NA,0,0,0,1,0,0,0
"Camp on Blood Island, The",1958,81,NA,5,22,NA,0,0,0,1,0,0,0
"Camp: The Movie",2002,70,NA,5.8,6,NA,0,0,1,0,0,0,0
"Campa carogna... la taglia cresce",1973,83,NA,4.9,6,NA,0,0,0,0,0,0,0
"Campana del infierno, La",1973,93,NA,6.7,50,NA,0,0,0,0,0,0,0
"Campanadas a medianoche",1965,115,800000,8.3,460,NA,0,0,1,1,0,0,0
"Campbell's Kingdom",1957,102,NA,5.9,79,NA,0,0,0,1,0,0,0
"Campfire Tales",1991,88,NA,4.5,27,NA,0,0,0,0,0,0,0
"Campfire Tales",1997,88,NA,5.6,561,"R",0,0,0,0,0,0,0
"Camping",1978,91,NA,5.4,22,NA,0,0,1,0,0,0,0
"Camping",1990,100,NA,3.6,28,NA,0,0,1,0,0,0,0
"Camping Cosmos",1996,88,NA,4.9,49,NA,0,0,1,0,0,1,0
"Camping Out",1934,7,NA,6.6,25,NA,0,1,1,0,0,0,1
"Camping del terrore",1987,83,NA,4.4,96,NA,0,0,0,0,0,0,0
"Camping sauvage",2004,100,NA,6.2,101,NA,0,0,1,0,0,0,0
"Campioana",1990,92,NA,5.8,26,NA,0,0,0,0,0,0,0
"Campo Mamula",1959,98,NA,6.8,28,NA,0,0,0,0,0,0,0
"Campo de sangre",2001,93,NA,6.4,6,NA,0,0,0,1,0,0,0
"Campo de' fiori",1943,95,NA,8,14,NA,0,0,1,0,0,0,0
"Campus Carmen, The",1928,20,NA,6.6,5,NA,0,0,1,0,0,0,1
"Campus Cinderella",1938,19,NA,4.7,8,NA,0,0,1,0,0,0,1
"Campus Man",1987,94,NA,4.3,134,NA,0,0,1,0,0,0,0
"Campus Stalker",1990,3,NA,2.9,8,NA,0,0,0,0,0,0,1
"Campus, Der",1998,126,NA,5.3,167,NA,0,0,1,0,0,0,0
"Can Hieronymus Merkin Ever Forget Mercy Humppe and Find True Happiness?",1969,107,NA,3.2,119,NA,0,0,1,0,0,0,0
"Can I Be Your Bratwurst, Please?",1999,30,NA,6.3,57,NA,0,0,0,0,0,0,1
"Can I Do It 'Till I Need Glasses?",1977,73,NA,3.2,67,NA,0,0,1,0,0,0,0
"Can I Get a Witness?",1996,17,NA,7,5,NA,0,0,0,0,0,0,1
"Can It Be Love",1992,90,NA,4,60,NA,0,0,1,0,0,0,0
"Can She Bake a Cherry Pie?",1983,90,NA,4.9,57,NA,0,0,1,0,0,0,0
"Can You Keep It Up for a Week?",1974,92,NA,3.8,45,NA,0,0,1,0,0,0,0
"Can que",1978,107,NA,7.3,128,NA,0,0,0,0,0,0,0
"Can't Be Heaven",2000,94,2000000,5.7,104,"PG",0,0,1,1,0,1,0
"Can't Buy Me Love",1987,94,NA,6.2,3145,NA,0,0,1,0,0,1,0
"Can't Hardly Wait",1998,101,10000000,6.2,8191,"PG-13",0,0,1,0,0,1,0
"Can't Help Singing",1944,90,NA,6.3,62,NA,0,0,0,0,0,0,0
"Can't Stop Dancing",1999,90,NA,3.2,33,NA,0,0,1,0,0,0,0
"Can't Stop the Music",1980,118,20000000,3.4,512,NA,0,0,1,0,0,0,0
"Can't You Hear the Wind Howl? The Life & Music of Robert Johnson",1997,77,NA,6.2,23,NA,0,0,0,0,1,0,0
"Can-Can",1960,131,6000000,6,311,NA,0,0,1,0,0,1,0
"Canada Vignettes: Faces",1978,1,NA,6.2,5,NA,0,1,0,0,0,0,1
"Canada Vignettes: Fort Prince of Wales",1978,1,NA,8.4,6,NA,0,1,1,0,1,0,1
"Canada Vignettes: Hudden and Dudden and Donald O'Neary",1978,5,NA,1.9,5,NA,0,1,0,0,0,0,1
"Canada Vignettes: Lady Frances Simpson",1978,1,NA,7.7,6,NA,0,1,1,0,0,0,1
"Canada Vignettes: Log Driver's Waltz",1979,3,NA,7.2,76,NA,0,1,1,0,0,0,1
"Canada Vignettes: Spence's Republic",1978,1,NA,7.8,8,NA,0,1,1,0,0,0,1
"Canadian Bacon",1995,91,11000000,5.5,3514,NA,0,0,1,0,0,0,0
"Canadian Mounties vs. Atomic Invaders",1953,167,NA,5.3,13,NA,1,0,0,0,0,0,0
"Canadian Pacific",1949,95,NA,5.5,40,NA,0,0,0,0,0,0,0
"Canadians, The",1961,85,NA,4.9,18,NA,0,0,0,0,0,0,0
"Canaima",1945,118,NA,8.7,6,NA,0,0,0,1,0,1,0
"Cananea",1978,123,NA,5.9,7,NA,0,0,0,1,0,0,0
"Canaris",1954,92,NA,5.8,25,NA,0,0,0,1,0,0,0
"Canary Murder Case, The",1929,82,NA,6.5,39,NA,0,0,0,1,0,0,0
"Canary Row",1950,7,NA,6.8,87,NA,0,1,1,0,0,0,1
"Canasta de cuentos mexicanos",1956,98,NA,7.1,17,NA,0,0,0,1,0,1,0
"Cancel My Reservation",1972,99,NA,3.6,113,NA,0,0,1,0,0,0,0
"Canceled Lives: Letters from the Inside",1993,50,NA,9.4,35,NA,0,0,0,0,0,0,0
"Candi Girl",1977,63,NA,6.2,6,NA,0,0,0,0,0,0,0
"Candid Camera Story (Very Candid) of the Metro-Goldwyn-Mayer Pictures 1937 Convention, The",1937,17,NA,9,5,NA,0,0,0,0,1,0,1
"Candid Cameramaniacs",1937,9,NA,4.7,7,NA,0,0,1,0,0,0,1
"Candid Candidate, The",1937,6,NA,6.6,9,NA,0,1,1,0,0,0,1
"Candidate, The",1964,84,NA,5.1,8,NA,0,0,0,1,0,0,0
"Candidate, The",1972,109,NA,7.1,1505,NA,0,0,0,1,0,0,0
"Candidature",2001,45,NA,6.2,15,NA,0,0,1,1,0,0,0
"Candide madame Duff, La",2000,90,NA,4,5,NA,0,0,0,0,0,0,0
"Candle Smoke",1998,24,NA,4.2,26,NA,0,0,0,1,0,0,1
"Candlelight in Algeria",1944,85,NA,7,6,NA,0,0,0,1,0,0,0
"Candles at Nine",1944,75,NA,5.9,11,NA,0,0,0,0,0,0,0
"Candleshoe",1977,101,NA,6.3,508,NA,0,0,1,0,0,0,0
"Candy",1968,115,NA,4.8,537,NA,0,0,1,0,0,0,0
"Candy Mountain",1988,91,NA,5.6,85,NA,0,0,0,1,0,0,0
"Candy Regentag",1989,87,NA,4.8,10,NA,0,0,0,1,0,0,0
"Candy Snatchers, The",1973,94,NA,6.7,45,NA,0,0,0,0,0,0,0
"Candy Stripe Nurses",1974,80,NA,3.5,79,NA,0,0,0,0,0,0,0
"Candy Stripers",1978,84,NA,5.7,51,NA,0,0,1,0,0,0,0
"Candy Tangerine Man",1975,95,NA,5,25,NA,1,0,0,0,0,0,0
"Candy Town",1932,6,NA,5.4,9,NA,0,1,0,0,0,0,1
"Candyman",1992,99,8000000,6.3,4735,NA,0,0,0,1,0,0,0
"Candyman: Farewell to the Flesh",1995,93,NA,4.5,1176,"R",0,0,0,0,0,0,0
"Cane Toads",1988,47,NA,8.3,208,NA,0,0,0,0,1,0,0
"Cane arrabbiato",1985,91,NA,5.7,15,NA,1,0,0,0,0,0,0
"Cane e gatto",1982,101,NA,4.9,90,NA,0,0,0,0,0,0,0
"Cane-Toad: What Happened to Baz?",2002,6,NA,6.9,7,NA,0,1,0,0,0,0,1
"Cangaceiro, O",1953,105,NA,7.8,62,NA,1,0,0,1,0,0,0
"Cangaceiro, O",1997,120,NA,7.2,27,NA,1,0,0,1,0,0,0
"Canh dong hoang",1981,95,NA,4.6,7,NA,0,0,0,0,0,0,0
"Canhead",1996,8,NA,6.9,37,NA,0,1,0,0,0,0,1
"Cani arrabbiati",1974,96,NA,7.4,210,NA,0,0,0,1,0,0,0
"Canibais, Os",1988,90,NA,6.2,61,NA,0,0,0,1,0,0,0
"Canicule",1984,101,NA,5.3,94,NA,1,0,0,1,0,0,0
"Canine Caddy",1941,7,NA,6.4,34,NA,0,1,1,0,0,0,1
"Canine Casanova",1945,7,NA,5.6,23,NA,0,1,1,0,0,0,1
"Canine Patrol",1945,7,NA,5.9,17,NA,0,1,1,0,0,0,1
"Cannabis",1970,85,NA,5.6,14,NA,0,0,0,1,0,0,0
"Canned Feud",1951,7,NA,6.9,75,NA,0,1,1,0,0,0,1
"Cannery Rodent",1967,7,NA,6,20,NA,0,1,1,0,0,0,1
"Cannery Row",1982,120,NA,6.4,864,NA,0,0,1,1,0,0,0
"Cannes Man",1996,88,NA,5.4,130,"R",0,0,1,1,0,0,0
"Cannes: The Agony and the Ecstasy",1998,60,NA,8.8,9,NA,0,0,0,0,1,0,0
"Cannibal Attack",1954,69,NA,3.7,24,NA,0,0,0,0,0,0,0
"Cannibal Campout",1988,89,NA,1.7,61,NA,0,0,0,0,0,0,0
"Cannibal Girls",1973,84,NA,3.1,68,NA,0,0,1,0,0,0,0
"Cannibal Holocaust",1980,95,NA,5.9,2468,NA,0,0,0,0,0,0,0
"Cannibal Tours",1988,70,NA,7.8,24,NA,0,0,0,0,1,0,0
"Cannibal Women in the Avocado Jungle of Death",1989,90,NA,4.1,538,NA,1,0,1,0,0,0,0
"Cannibal ferox",1981,93,NA,4.5,882,NA,0,0,0,0,0,0,0
"Cannibali, I",1970,88,NA,4.6,15,NA,0,0,0,1,0,0,0
"Cannon Movie Tales: Beauty and the Beast",1987,94,NA,6.1,101,NA,0,0,0,0,0,1,0
"Cannon for Cordoba",1970,104,NA,5.4,69,NA,0,0,0,0,0,0,0
"Cannonball",1976,90,NA,4.9,619,NA,1,0,1,1,0,0,0
"Cannonball Run II",1984,96,NA,3.9,2619,NA,1,0,1,0,0,0,0
"Cannonball Run, The",1981,95,NA,5.4,5110,NA,1,0,1,0,0,0,0
"Canoa",1975,115,NA,6.7,56,NA,0,0,0,1,0,0,0
"Canoeing on the Charles River, Boston, Mass.",1904,2,NA,4.4,8,NA,0,0,0,0,1,0,1
"Canon",1964,10,NA,6.5,15,NA,0,1,0,0,0,0,1
"Canon City",1948,82,NA,7,44,NA,1,0,0,1,0,0,0
"Canone inverso - making love",2000,107,NA,6.8,176,NA,0,0,0,1,0,0,0
"Cantando a la vida",1969,95,NA,6,5,NA,0,0,0,1,0,0,0
"Cantando dietro i paraventi",2003,98,NA,6,106,NA,0,0,0,1,0,0,0
"Canterbury Tale, A",1944,95,NA,7.9,344,NA,0,0,0,1,0,0,0
"Canterbury Tales, The",1998,28,NA,6.6,16,NA,0,1,0,0,0,0,1
"Canterville Ghost, The",1944,96,NA,6.7,335,NA,0,0,1,0,0,0,0
"Cantique de la racaille",1998,104,NA,6.5,16,NA,0,0,1,1,0,0,0
"Canvas",1992,90,NA,3.7,28,NA,0,0,0,0,0,0,0
"Canvas Back Duck",1953,7,NA,7.2,23,NA,0,1,1,0,0,0,1
"Canyon Crossroads",1955,83,NA,5.9,11,NA,0,0,0,0,0,0,0
"Canyon Passage",1946,92,NA,6.7,112,NA,0,0,0,0,0,0,0
"Canyon River",1956,79,NA,5.5,14,NA,0,0,0,0,0,0,0
"Canzoni nel mondo",1963,86,NA,7.4,5,NA,0,0,0,0,0,0,0
"Cao inspektore",1985,90,NA,5,21,NA,0,0,1,0,0,0,0
"Cap Tourmente",1993,115,NA,6.4,33,NA,0,0,0,0,0,0,0
"Cape Breton Island",1948,9,NA,5.5,6,NA,0,0,0,0,1,0,1
"Cape Canaveral Monsters, The",1960,69,NA,1.9,50,NA,0,0,0,0,0,0,0
"Cape Fear",1962,105,NA,7.6,3648,NA,0,0,0,0,0,0,0
"Cape Fear",1991,128,35000000,7.1,15585,"R",0,0,0,1,0,0,0
"Cape Town Affair, The",1967,100,NA,4.6,41,NA,0,0,0,1,0,0,0
"Cape of Good Hope",2004,107,3000000,9.7,13,NA,0,0,1,1,0,0,0
"Caper of the Golden Bulls, The",1967,102,NA,4,17,NA,1,0,1,0,0,0,0
"Caperucita roja, La",1960,85,NA,5.2,17,NA,0,0,0,0,0,0,0
"Caperucita y Pulgarcito contra los monstruos",1962,82,NA,4.9,10,NA,0,0,0,0,0,0,0
"Caperucita y sus tres amigos",1961,85,NA,5.4,5,NA,0,0,0,1,0,0,0
"Capitaine Conan",1996,129,NA,7.5,344,NA,0,0,0,1,0,0,0
"Capitaine Fracasse, Le",1929,92,NA,6.7,23,NA,0,0,0,1,0,0,0
"Capitaine Fracasse, Le",1943,108,NA,7.2,11,NA,0,0,0,0,0,0,0
"Capitaine Fracasse, Le",1961,108,NA,6.4,39,NA,1,0,0,0,0,0,0
"Capital City: Washington, D.C., The",1940,9,NA,6.1,14,NA,0,0,0,0,1,0,1
"Capital Punishment",1991,89,NA,2.8,24,NA,0,0,0,0,0,0,0
"Capital Punishment",2003,88,NA,4.8,12,NA,0,0,0,0,0,0,0
"Capitalismo Selvagem",1993,86,NA,7.8,30,NA,0,0,0,1,0,0,0
"Capitan Fuoco",1958,85,NA,4.4,9,NA,0,0,0,0,0,0,0
"Capitan, Le",1960,111,NA,5.8,51,NA,0,0,0,0,0,0,0
"Capitano, Il",1991,110,NA,5.8,137,NA,0,0,0,1,0,0,0
"Capitu",1968,105,NA,4.6,9,NA,0,0,0,1,0,0,0
"Capkovy povidky",1947,97,NA,6.4,6,NA,0,0,0,0,0,0,0
"Capo Nord",2003,102,NA,6.9,7,NA,0,0,1,0,0,0,0
"Capone",1975,101,NA,4.8,174,NA,0,0,0,1,0,0,0
"Cappotto di legno, Il",1981,88,NA,3,7,NA,0,0,0,1,0,0,0
"Cappotto, Il",1952,95,NA,9,15,NA,0,0,1,1,0,0,0
"Cappuccino",1998,98,NA,6.9,13,NA,0,0,0,0,0,0,0
"Cappuccino King, The",2003,8,NA,8.8,6,NA,0,0,0,0,0,0,1
"Cappy Leit",2001,19,NA,6.6,7,NA,0,0,0,0,0,0,1
"Capri",2002,15,NA,3.9,5,NA,0,0,0,0,0,0,1
"Capriccio all'italiana",1968,95,NA,6.2,22,NA,0,0,1,0,0,0,0
"Capricciosa",2003,105,NA,5.9,66,NA,0,0,0,1,0,0,0
"Caprice",1967,98,NA,5,154,NA,0,0,1,0,0,0,0
"Caprices d'un fleuve, Les",1996,111,NA,6.4,66,NA,0,0,0,0,0,0,0
"Caprices de Marie, Les",1970,92,NA,6.6,8,NA,0,0,1,0,0,1,0
"Capricorn One",1978,123,5000000,6.4,2591,NA,0,0,0,1,0,0,0
"Captain America",1944,244,NA,5.5,48,NA,1,0,0,0,0,0,0
"Captain America",1991,97,NA,2.8,1395,NA,1,0,0,0,0,0,0
"Captain Apache",1971,94,NA,3.7,76,NA,0,0,0,0,0,0,0
"Captain Applejack",1931,63,NA,5,14,NA,0,0,1,1,0,1,0
"Captain Blood",1935,99,1200000,7.7,1683,NA,1,0,0,0,0,1,0
"Captain Boycott",1947,92,NA,6.8,62,NA,0,0,0,1,0,0,0
